学校名,回数区分
日本大学,（Ｂ・ＡＦ）
日本大学,（Ｃ・ＡＦ）
日本大学,（適性検査・ＡＦ）
日本大学,（Ａ１・ＧＬ）
日本大学,（Ａ２・ＧＬ）
日本大学,（Ｂ・ＧＬ）
日本大学,（Ｃ・ＧＬ）
日本大学,（適性検査・ＧＬ）
日大第一,（４科１回）
日大第一,（４科２回）
日大第一,（２科１回）
日大第一,（２科２回）
日大第二,1
日大第二,（２回）
日大第三,1
日大第三,（２回）
日大第三,（３回）
日大豊山,1
日大豊山,（２回）
日大豊山,（３回）
日大豊山,（４回）
日大藤沢,1
日大藤沢,（２回）
日大藤沢,（３回）
日本大学三島,（首都圏）
白鴎大学足利,（推薦）
白鴎大学足利,1
白鴎大学足利,（２回）
函館ラ・サール,（１次・東京）
函館ラ・サール,（２次・東京）
八王子学園八王子,（１日午前東大）
八王子学園八王子,（１日午前東大・適性）
八王子学園八王子,（１日午後東大）
八王子学園八王子,（２日午前東大）
八王子学園八王子,（２日午後東大）
八王子学園八王子,（３日特進）
八王子実践,1
八王子実践,（２回）
八王子実践,（プレゼンテーション１回）
八王子実践,（３回）
八王子実践,（プレゼンテーション２回）
日出学園,（一般Ⅰ期）
日出学園,（一般Ⅱ期）
日出学園,（第一・Ⅰ期）
日出学園,（第一・Ⅱ期）
日出学園,（推薦）
日出学園,（サンライズ）
広尾学園,1
広尾学園,（２回）
広尾学園,（医進・サイエンス）
広尾学園,（３回）
広尾学園,（ＩＳＧ１回）
広尾学園,（ＩＳＧ２回）
広尾学園,（ＩＡＧ）
広尾学園小石川,1
広尾学園小石川,（２回）
広尾学園小石川,（３回）
広尾学園小石川,（４回）
広尾学園小石川,（５回）
広尾学園小石川,（ＩＳＧ１回）
広尾学園小石川,（ＩＳＧ２回）
広尾学園小石川,（ＩＳＧ３回）
広尾学園小石川,（ＩＳＧ４回）
広尾学園小石川,（ＩＳＧ５回）
広尾学園小石川,（ＩＡＧ）
武相,1
武相,（２回）
武相,（３回）
武相,（４回）
武相,（５回）
武南,（１回午前）
武南,（１回適性検査）
武南,（１回午後）
武南,（２回）
武南,（２回適性検査）
武南,（３回）
武南,（４回）
武南,（５回）
文化学園大杉並,1
文化学園大杉並,（適性検査）
文化学園大杉並,（２回）
文化学園大杉並,（３回）
文化学園大杉並,（４回）
文化学園大杉並,（算数特別）
文化学園大杉並,（英語特別）
文化学園大杉並,（５回）
文化学園大杉並,（算数特別２回）
文化学園大杉並,（英語特別２回）
文化学園大杉並,（６回）
文教大付属,1
文教大付属,（２回）
文教大付属,（３回）
文教大付属,（４回）
文教大付属,（５回）
文星芸術大附属,1
文星芸術大附属,（２回）
法政大学,1
法政大学,（２回）
法政大学,（３回）
法政第二,1
法政第二,（２回）
宝仙学園,（理数）
宝仙学園,（理数新４科）
宝仙学園,（理数２回）
宝仙学園,（理数公立型）
宝仙学園,（理数公立型２回）
宝仙学園,（理数公立型３回）
宝仙学園,（理数リベラルアーツ）
宝仙学園,（理数リベラルアーツ２回）
宝仙学園,（理数グローバル）
宝仙学園,（理数グローバル２回）
宝仙学園,（理数ＡＡＡ）
宝仙学園,（理数ＡＡＡ２回）
宝仙学園,（理数読書プレゼン）
宝仙学園,（理数読書プレゼン２回）
宝仙学園,（オピニオン）
宝仙学園,（理数インター）
宝仙学園,（理数インター２回）
宝仙学園,（理数英語ＡＬ）
北嶺,（東京・名古屋）
北嶺,（東京・名古屋特待）
星野学園,1
星野学園,（２回）
星野学園,（理数）
星野学園,（理数２回）
星野学園,（総合選抜）
星の杜,1
星の杜,（２回）
細田学園,1
細田学園,（ｄｏｔｓ）
細田学園,（２回）
細田学園,（３回）
細田学園,（特待）
細田学園,（特待２回）
本郷,1
本郷,（２回）
本郷,（３回）
本庄第一,（１回単願）
本庄第一,（２回一般）
本庄第一,（３回一般）
本庄東高校附属,1
本庄東高校附属,（２回）
本庄東高校附属,（３回）
三田国際学園,（１回ＩＳ）
三田国際学園,（２回ＩＳ）
三田国際学園,（３回ＩＳ）
三田国際学園,（４回ＩＳ）
三田国際学園,（１回インター）
三田国際学園,（２回インター）
三田国際学園,（３回インター）
三田国際学園,（ＭＳＴ）
水戸英宏,（専願Ａ）
水戸英宏,（一般Ａ）
水戸英宏,（推薦Ｂ）
水戸英宏,（専願Ｂ）
水戸英宏,（一般Ｂ）
水戸英宏,（専願Ｃ）
水戸英宏,（一般Ｃ）
水戸英宏,（専願Ｄ）
水戸英宏,（一般Ｄ）
宮崎日本大学,（首都圏）
明星学園,（Ａ）
明星学園,（Ｂ）
明星学園,（Ｃ）
明星学園,（Ｄ）
武蔵,1
武蔵野,（１回）
武蔵野,（２回）
武蔵野,（３回）
武蔵野,（４回）
武蔵野大学,1
武蔵野大学,（２回）
武蔵野大学,（３回）
武蔵野大学,（４回）
武蔵野大学,（アドベンチャー）
武蔵野大学,（適性検査型）
武蔵野東,（Ａ午前）
武蔵野東,（Ａ午後）
武蔵野東,（Ｂ）
武蔵野東,（Ｃ午前）
武蔵野東,（Ｃ午後）
武蔵野東,（Ｄ）
茗溪学園,（一般４科）
茗溪学園,（一般総合）
茗溪学園,（１回国際生Ｂ）
茗溪学園,（２回国際生Ｂ）
茗溪学園,（推薦）
茗溪学園,（国際生Ａ）
明治学院,1
明治学院,（２回）
明治学院,（３回）
明大付属明治,1
明大付属明治,（２回）
明大中野八王子,（Ａ１回）
明大中野八王子,（Ａ２回）
明大中野八王子,（Ｂ）
明星,（１日午前総合）
明星,（１日午前特選）
明星,（１日午前適性検査）
明星,（１日午後総合）
明星,（１日午後特選）
明星,（２日午前総合）
明星,（２日午前特選）
明星,（２日午前適性検査）
明星,（２日午後総合）
明星,（２日午後特選）
明星,（３日総合）
明星,（３日特選）
明星,（４日総合）
明星,（４日特選）
明大付属中野,1
明大付属中野,（２回）
明法,（１回午前）
明法,（１回午前適性）
明法,（１回午後）
明法,（２回午前）
明法,（２回午後）
明法,（３回午前）
目黒学院,（適性検査）
目黒学院,（１科）
目黒学院,（２回）
目黒学院,（３回）
目黒学院,（４回）
目黒日大,1
目黒日大,（２回）
目黒日大,（３回）
目黒日大,（３回適性）
目黒日大,（４回）
目白研心,（１回）
目白研心,（２回）
目白研心,（３回）
目白研心,（４回）
目白研心,（５回）
目白研心,（算数特別）
目白研心,（次世代スキル）
森村学園,1
森村学園,（２回）
森村学園,（３回）
八雲学園,1
八雲学園,（２回）
八雲学園,（３回）
八雲学園,（４回）
八雲学園,（未来発見）
安田学園,（先進特待１回）
安田学園,（先進特待２回）
安田学園,（先進特待３回）
安田学園,（先進特待４回）
安田学園,（先進特待５回）
安田学園,（先進特待６回）
八千代松陰,（一般２０日）
八千代松陰,（一般２１日）
八千代松陰,（一般２月５日）
八千代松陰,（学科推薦）
八千代松陰,（自己推薦）
山手学院,（Ａ）
山手学院,（特待選抜）
山手学院,（Ｂ）
山手学院,（後期）
横須賀学院,（１次Ａ）
横須賀学院,（適性検査型）
横須賀学院,（１次Ｂ）
横須賀学院,（２次）
横須賀学院,（３次）
横須賀学院,（英語資格利用）
横浜,1
横浜,（２回）
横浜,（３回）
横浜国大附属鎌倉,1
横浜国大附属横浜,1
横浜市立南高附属,1
横浜市立ＹＳＦＨ附属,1
横浜翠陵,1
横浜翠陵,（２回）
横浜翠陵,（３回）
横浜翠陵,（４回）
横浜翠陵,（５回）
横浜翠陵,（適性検査）
横浜創英,1
横浜創英,（２回）
横浜創英,（３回）
横浜創英,（４回）
横浜創英,（５回）
横浜隼人,1
横浜隼人,（適性）
横浜隼人,（２回）
横浜隼人,（自己アピール）
横浜隼人,（３回）
横浜富士見丘,1
横浜富士見丘,（２回）
横浜富士見丘,（３回）
横浜富士見丘,（４回）
横浜富士見丘,（５回）
横浜富士見丘,（６回）
横浜富士見丘,（適性検査型）
立教池袋,（一般）
立教池袋,（一般２回）
立教池袋,（帰国）
立教新座,1
立教新座,（２回）
立正大付属立正,（１回午前）
立正大付属立正,（１回午後）
立正大付属立正,（２回）
立正大付属立正,（３回）
立正大付属立正,（４回）
流通経済大付属柏,（第一志望）
流通経済大付属柏,1
流通経済大付属柏,（２回）
流通経済大付属柏,（３回）
流通経済大付属柏,（４回）
麗澤,（１回ＡＥ）
麗澤,（１回ＥＥ）
麗澤,（２回ＡＥ）
麗澤,（２回ＥＥ）
麗澤,（３回ＡＥ）
麗澤,（３回ＥＥ）
麗澤,（４回ＡＥ）
麗澤,（４回ＥＥ）
麗澤瑞浪,（東京）
和光,1
和光,（２回）
和光,（３回）
早稲田,1
早稲田,（２回）
早稲田佐賀,（１月首都圏）
早稲田佐賀,（２月首都圏）
早稲田佐賀,（新思考１２月首都圏）
早稲田実業,1
早大高等学院中学部,1
愛国,1
愛国,（２回）
愛国,（３回）
跡見学園,1
跡見学園,（特待１回）
跡見学園,（２回）
跡見学園,（特待２回）
跡見学園,（特待３回思考力・英語）
跡見学園,（特待４回）
跡見学園,（帰国）
浦和明の星女子,1
浦和明の星女子,（２回）
江戸川女子,1
江戸川女子,（ＡＯ）
江戸川女子,（２回）
江戸川女子,（英語）
江戸川女子,（２科）
江戸川女子,（３回）
江戸川女子,（帰国生）
桜蔭,1
鴎友学園女子,1
鴎友学園女子,（２回）
大妻,1
大妻,（２回）
大妻,（３回）
大妻,（４回）
大妻,（帰国）
大妻多摩,（総合進学）
大妻多摩,（午後総合進学）
大妻多摩,（２回総合進学）
大妻多摩,（３回）
大妻多摩,（国際進学）
大妻多摩,（午後国際進学）
大妻多摩,（２回国際進学）
大妻多摩,（適性型思考力）
大妻中野,（アドバンスト）
大妻中野,（２回アドバンスト）
大妻中野,（３回アドバンスト）
大妻中野,（４回アドバンスト）
大妻中野,（新思考力）
大妻中野,（グローバル）
大妻中野,（２回グローバル）
大妻嵐山,1
大妻嵐山,（２回）
大妻嵐山,（３回）
大妻嵐山,（まなび力）
大妻嵐山,（奨学生）
学習院女子,（一般Ａ）
学習院女子,（一般Ｂ）
学習院女子,（帰国）
神奈川学園,（Ａ午前）
神奈川学園,（Ａ午後）
神奈川学園,（Ｂ）
神奈川学園,（Ｃ）
鎌倉女学院,1
鎌倉女学院,（２次）
鎌倉女子大学,（１日午前P）
鎌倉女子大学,（１日午後P）
鎌倉女子大学,（２日午前P）
鎌倉女子大学,（２日午後P）
鎌倉女子大学,（３日午後P）
鎌倉女子大学,（１日午前K）
鎌倉女子大学,（１日午後K）
鎌倉女子大学,（２日午前K）
鎌倉女子大学,（２日午後K）
鎌倉女子大学,（３日午後K）
鎌倉女子大学,（４日午前K）
鎌倉女子大学,（５日午前K）
カリタス女子,1
カリタス女子,（２回）
カリタス女子,（３回）
カリタス女子,（４回）
川村,（プレミアム）
川村,（セレクト１）
川村,（セレクト２）
川村,（セレクト３）
川村,（セレクト４）
神田女学園,1
神田女学園,（適性型）
神田女学園,（２回特待）
神田女学園,（２回特待適性型）
神田女学園,（３回特待ＤＤＰ）
神田女学園,（４回）
神田女学園,（４回得意科目型）
神田女学園,（５回）
神田女学園,（５回新思考力）
神田女学園,（６回得意科目型）
函嶺白百合学園,1
函嶺白百合学園,（２回）
函嶺白百合学園,（３回）
北鎌倉女子,（２科）
北鎌倉女子,（４科総合）
北鎌倉女子,（２科２回）
北鎌倉女子,（国語）
北鎌倉女子,（国語２）
北鎌倉女子,（算数）
北鎌倉女子,（日本語）
北鎌倉女子,（エッセイ）
北鎌倉女子,（エッセイ２回）
北鎌倉女子,（英語プレゼン）
北鎌倉女子,（英語プレゼン２回）
北鎌倉女子,（プログラミング）
北鎌倉女子,（音楽）
北豊島,（一般）
北豊島,（特待）
北豊島,（適性検査型）
北豊島,（２回特待）
北豊島,（３回特待）
北豊島,（英語）
吉祥女子,1
吉祥女子,（２回）
共立女子,（１日）
共立女子,（２日）
共立女子,（３日午後英語４技能型）
共立女子,（３日午後合科型）
共立女子,（海外帰国生）
共立女子第二,（ＡＭ）
共立女子第二,（適性検査型）
共立女子第二,（ＰＭ）
共立女子第二,（英語４技能）
共立女子第二,（２回ＡＭ）
共立女子第二,（２回ＰＭ）
共立女子第二,（３回ＡＭ）
国本女子,1
国本女子,（２回）
国本女子,（３回）
国本女子,（４回）
京華女子,（１回午前）
京華女子,（適性検査型）
京華女子,（１回午後）
京華女子,（２回英検）
京華女子,（２回）
京華女子,（３回）
京華女子,（特待特別）
恵泉女学園,1
恵泉女学園,（２回）
恵泉女学園,（３回）
光塩女子学院,（１回総合型）
光塩女子学院,（２回）
光塩女子学院,（３回）
晃華学園,1
晃華学園,（２回）
晃華学園,（３回）
麹町学園女子,（１日午前）
麹町学園女子,（１日午前英語）
麹町学園女子,（１日午後特待）
麹町学園女子,（２日午前）
麹町学園女子,（２日午後特待）
麹町学園女子,（３日午前）
麹町学園女子,（５日午前）
佼成学園女子,（１日午前）
佼成学園女子,（１日午前適性）
佼成学園女子,（１日午後S特待）
佼成学園女子,（１日午後適性）
佼成学園女子,（１日午後英語）
佼成学園女子,（２日午前S特待）
佼成学園女子,（２日午前適性）
佼成学園女子,（２日午後S特待）
佼成学園女子,（３日午前）
佼成学園女子,（３日午後プレゼン）
佼成学園女子,（４日午前）
佼成学園女子,（４日午前英語）
佼成学園女子,（４日午後適性）
佼成学園女子,（５日午前Ｓ特待）
国府台女子学院,1
国府台女子学院,（２回）
国府台女子学院,（推薦）
香蘭女学校,1
香蘭女学校,（２回）
駒沢学園女子,（１回午前）
駒沢学園女子,（１回英語）
駒沢学園女子,（プレゼン）
駒沢学園女子,（１回１科目選択）
駒沢学園女子,（１回午後）
駒沢学園女子,（２回午前）
駒沢学園女子,（２回英語）
駒沢学園女子,（２回１科目選択）
駒沢学園女子,（２回午後）
駒沢学園女子,（３回）
相模女子大学,1
相模女子大学,（２回）
相模女子大学,（３回）
相模女子大学,（４回）
相模女子大学,（適性検査型）
相模女子大学,（プログラミング１回）
相模女子大学,（プログラミング２回）
実践女子学園,1
実践女子学園,（２回）
実践女子学園,（３回）
実践女子学園,（４回）
実践女子学園,（５回）
実践女子学園,（６回）
品川女子学院,1
品川女子学院,（算数）
品川女子学院,（２回）
品川女子学院,（表現力・総合型）
自由学園女子部中等科,1
自由学園女子部中等科,（２回）
十文字,1
十文字,（思考力型）
十文字,（２回）
十文字,（３回）
十文字,（４回）
十文字,（得意型）
十文字,（特別）
淑徳ＳＣ,1
淑徳ＳＣ,（特待）
淑徳ＳＣ,（２回）
淑徳ＳＣ,（３回）
淑徳ＳＣ,（４回）
淑徳与野,1
淑徳与野,（２回）
頌栄女子学院,1
頌栄女子学院,（２回）
湘南白百合学園,（算数１教科）
湘南白百合学園,（国語１教科）
湘南白百合学園,（４教科）
湘南白百合学園,（英語資格）
昭和女子大附属昭和,（ＡＡ）
昭和女子大附属昭和,（ＧＡ）
昭和女子大附属昭和,（ＳＡ）
昭和女子大附属昭和,（ＡＰ）
昭和女子大附属昭和,（Ｂ）
昭和女子大附属昭和,（ＧＢ）
昭和女子大附属昭和,（ＳＢ）
昭和女子大附属昭和,（Ｃ）
女子学院,1
女子聖学院,1
女子聖学院,（スカラシップ）
女子聖学院,（２回）
女子聖学院,（３回）
女子聖学院,（４回）
女子聖学院,（５回）
女子聖学院,（英語表現力）
女子聖学院,（ＢａＭ表現力）
女子美大付属,1
女子美大付属,（２回）
女子美大付属,（３回）
白梅学園清修,1
白梅学園清修,（１回午後）
白梅学園清修,（２回）
白梅学園清修,（３回）
白梅学園清修,（４回）
白梅学園清修,（５回）
白梅学園清修,（６回）
白百合学園,（一般）
成女学園,1
成女学園,（２回）
成女学園,（３回）
成女学園,（４回）
成女学園,（５回）
成女学園,（６回）
聖セシリア女子,（Ａ１次）
聖セシリア女子,（Ａ２次）
聖セシリア女子,（Ａ３次）
聖セシリア女子,（Ｂスカラシップ）
聖セシリア女子,（Ｂ英語）
聖セシリア女子,（Ｂ英語表現）
清泉女学院,1
清泉女学院,（２期）
清泉女学院,（ＳＰ）
清泉女学院,（３期）
清泉女学院,（ＡＰ）
聖ドミニコ学園,1
聖ドミニコ学園,（２回）
聖ドミニコ学園,（３回）
聖ドミニコ学園,（４回）
聖ドミニコ学園,（後期）
聖和学院,1
聖和学院,（特待）
聖和学院,（２回）
聖和学院,（特待２回）
聖和学院,（３回）
聖和学院,（特待３回）
聖和学院,（特別）
聖和学院,（特別２回）
洗足学園,1
洗足学園,（２回）
洗足学園,（３回）
洗足学園,（帰国Ｂ）
捜真女学校,（Ａ）
捜真女学校,（スカラシップ）
捜真女学校,（スカラシップ２）
捜真女学校,（Ｂ）
捜真女学校,（Ｃ）
捜真女学校,（対話学力）
瀧野川女子学園,1
瀧野川女子学園,（２回）
瀧野川女子学園,（３回）
瀧野川女子学園,（４回）
玉川聖学院,1
玉川聖学院,（２回）
玉川聖学院,（３回）
玉川聖学院,（４回）
玉川聖学院,（適性検査型）
玉川聖学院,（多文化共生）
田園調布学園,1
田園調布学園,（午後）
田園調布学園,（２回）
田園調布学園,（３回）
東京家政学院,（１日午前）
東京家政学院,（１日午後）
東京家政学院,（２日午前）
東京家政学院,（２日午後）
東京家政学院,（５日）
東京家政学院,（１０日）
東京家政大附属女子,1
東京家政大附属女子,（適性検査型奨学生）
東京家政大附属女子,（２回特奨）
東京家政大附属女子,（３回）
東京家政大附属女子,（４回）
東京家政大附属女子,（５回）
東京家政大附属女子,（６回）
東京純心女子,1
東京純心女子,（適性検査型）
東京純心女子,（２回）
東京純心女子,（３回）
東京純心女子,（数的処理型）
東京純心女子,（特待生）
東京女学館,1
東京女学館,（２回）
東京女学館,（３回）
東京女学館,（４回）
東京女学館,（国際学級一般）
東京女子学院,（１回午前）
東京女子学院,（１回午後）
東京女子学院,（２回午前）
東京女子学院,（２回午後）
東京女子学院,（３回午前）
東京女子学院,（３回午後）
東京女子学院,（４回午前）
東京女子学院,（４回午後）
東京女子学院,（５回午前）
東京女子学院,（５回午後）
桐光学園,女子部
桐光学園,女子部（２回）
桐光学園,女子部（３回Ａ）
桐光学園,女子部（３回Ｂ）
桐光学園,女子部（帰国）
桐朋女子,（Ａ）
桐朋女子,（英語）
桐朋女子,（思考力＆発想力）
桐朋女子,（Ｂ）
東洋英和女学院,（Ａ）
東洋英和女学院,（Ｂ）
トキワ松学園,1
トキワ松学園,（適性検査型）
トキワ松学園,（２回）
トキワ松学園,（英語）
トキワ松学園,（３回）
トキワ松学園,（４回）
豊島岡女子学園,1
豊島岡女子学園,（２回）
豊島岡女子学園,（３回）
中村,（一般２・４科・１日午前）
中村,（一般２科・２日午前）
中村,（一般２・４科・５日午後）
中村,（特待２・４科・１日午後２科）
中村,（特待２・４科・２日午後）
中村,（適性検査）
中村,（ポテンシャル）
中村,（エクスプレス・３日）
中村,（エクスプレス・５日）
日体大桜華,1
日体大桜華,（ＡＯ）
日体大桜華,（２回）
日体大桜華,（２回ＡＯ）
日体大桜華,（３回）
日体大桜華,（３回ＡＯ）
日本女子大附属,1
日本女子大附属,（２回）
日大豊山女子,（４科・２科）
日大豊山女子,（２科１回）
日大豊山女子,（算数１科）
日大豊山女子,（２科選択）
日大豊山女子,（２科２回）
日大豊山女子,（２科３回）
日大豊山女子,（適性検査）
日大豊山女子,（英語）
日大豊山女子,（プレゼン）
フェリス女学院,1
不二聖心女子学院,（Ｓ東京）
不二聖心女子学院,（Ｂ東京）
富士見,1
富士見,（２回）
富士見,（算数１科）
富士見,（３回）
富士見丘,（ＷＩＬＬ）
富士見丘,（適性検査）
富士見丘,（１日午後）
富士見丘,（２日午前）
富士見丘,（２日午後）
富士見丘,（３日午後）
富士見丘,（４日午前）
富士見丘,（ＧＡ）
富士見丘,（１日午後英語資格）
富士見丘,（２日英語資格）
富士見丘,（２日午後英語資格）
富士見丘,（３日午後英語資格）
富士見丘,（４日英語資格）
藤村女子,1
藤村女子,（２回）
藤村女子,（３回）
藤村女子,（４回）
藤村女子,（５回）
藤村女子,（６回）
藤村女子,（適性検査）
藤村女子,（国語表現）
藤村女子,（ナゾ解き入試）
雙葉,1
普連土学園,（１日午前４科）
普連土学園,（１日午後算数）
普連土学園,（２日午後２科）
普連土学園,（４日午前４科）
文京学院大学女子,（ポテンシャル１回）
文京学院大学女子,（ポテンシャル２回）
文京学院大学女子,（ポテンシャル３回）
文京学院大学女子,（ポテンシャル４回）
文京学院大学女子,（特待）
文京学院大学女子,（適性検査）
文京学院大学女子,（探究プレゼン型）
文京学院大学女子,（英語）
聖園女学院,（１次Ａ）
聖園女学院,（１次Ｂ）
聖園女学院,（２次Ａ）
聖園女学院,（２次Ｂ）
聖園女学院,（３次）
聖園女学院,（４次）
緑ヶ丘女子,（１回午前）
緑ヶ丘女子,（１回午後）
緑ヶ丘女子,（２回）
緑ヶ丘女子,（３回）
三輪田学園,（１回午前Ａ）
三輪田学園,（１回午前Ｂ）
三輪田学園,（１回午後）
三輪田学園,（２回Ａ）
三輪田学園,（２回Ｂ）
三輪田学園,（３回）
盛岡白百合学園,（首都圏）
盛岡白百合学園,（首都圏Ⅱ）
山脇学園,（Ａ）
山脇学園,（帰国・英語Ａ）
山脇学園,（午後国）
山脇学園,（午後算）
山脇学園,（英語ＡＬ入試Ａ）
山脇学園,（Ｂ）
山脇学園,（帰国・英語Ｂ）
山脇学園,（探究サイエンス）
山脇学園,（英語ＡＬ入試Ｂ）
山脇学園,（Ｃ）
山脇学園,（帰国・英語Ｃ）
横浜共立学園,（Ａ）
横浜共立学園,（Ｂ）
横浜女学院,（Ａ１国際）
横浜女学院,（Ａ２アカデミー）
横浜女学院,（Ｂ１国際）
横浜女学院,（Ｂ２アカデミー）
横浜女学院,（Ｃ１国際）
横浜女学院,（Ｃ２アカデミー）
横浜女学院,（Ｄ１国際）
横浜女学院,（Ｄ２アカデミー）
横浜女学院,（Ｅ１国際）
横浜女学院,（Ｅ２アカデミー）
横浜女学院,（特別奨学生Ⅰ）
横浜女学院,（特別奨学生Ⅱ）
横浜雙葉,1
横浜雙葉,（２回）
立教女学院,1
立教女学院,（帰国）
和洋九段女子,1
和洋九段女子,（２回）
和洋九段女子,（３回特待選抜）
和洋九段女子,（４回）
和洋九段女子,（５回特待選抜）
和洋九段女子,（６回）
和洋国府台女子,（一般）
和洋国府台女子,（一般２回）
和洋国府台女子,（推薦）
愛光,（本校）
愛光,（大阪）
愛光,（福岡）
愛知,1
愛知教育大附属名古屋,1
愛工大名電,1
愛工大名電,（奨学生Ａ）
愛工大名電,（奨学生Ｂ）
暁,（前期）
秋田県立秋田南高中等部,1
秋田大附属,1
朝日塾,（適性検査型）
朝日塾,（４教科型）
アサンプション国際,（Ａ）
アサンプション国際,（Ａ午後）
アサンプション国際,（Ｂ）
芦屋学園,（Ａ午前）
飯塚日新館,1
池田学園池田,1
石川県立金沢錦丘,1
今治明徳,1
岩田,（一般）
磐田東,（前期）
磐田東,（後期）
上宮学園,（１次午前特進）
上宮学園,（１次午前Ｇ）
上宮学園,（適性特進）
上宮学園,（適性Ｇ）
上宮学園,（１次午後特進）
上宮学園,（２次特進）
上宮学園,（２次Ｇ）
鶯谷,（一般）
盈進,（パイオニア併願）
盈進,（パイオニア専願）
ＡＩＣＪ,（本校入試・早慶）
愛媛県立今治東中等教育,1
愛媛県立宇和島南中等教育,1
愛媛県立松山西中等教育,1
愛媛大附属,1
追手門学院,（Ａ・特進Ｓ）
追手門学院,（Ａ・特選ＳＳ）
追手門学院,（Ｂ・特進Ｓ）
追手門学院,（Ｂ・特選ＳＳ）
追手門学院,（Ｃ・特進Ｓ）
追手門学院,（Ｃ・特選ＳＳ）
追手門学院,（Ｄ・特進Ｓ）
追手門学院,（Ｄ・特選ＳＳ）
追手門大手前,（Ａ特進）
追手門大手前,（ＡＳＳ）
追手門大手前,（Ｂ特進）
追手門大手前,（ＢＳＳ）
追手門大手前,（Ｃ特進）
追手門大手前,（ＣＳＳ）
追手門大手前,（Ｄ特進）
追手門大手前,（ＤＳＳ）
近江兄弟社,（併願）
大分,（一般）
大分県立大分豊府,1
大分大附属,1
大阪学芸高附属,（１月入試）
大阪教育大附属池田,1
大阪教育大附属天王寺,1
大阪教育大附属平野,1
大阪国際,（１次ＡⅠ類）
大阪国際,（１次ＡⅡ類）
大阪金剛インターナショナル,（Ａ）
大阪星光学院,（３科）
大阪星光学院,（４科）
大阪青凌,（Ａ進学）
大阪青凌,（Ａ特進）
大阪体育大浪商,（Ａ）
大阪桐蔭,（前期・Ｅ）
大阪桐蔭,（前期・Ｅ専願）
大阪桐蔭,（前期・ＥＳ）
大阪桐蔭,（前期・ＥＳ専願）
大阪桐蔭,（後期Ｅ）
大阪桐蔭,（後期Ｅ専願）
大阪桐蔭,（後期ＥＳ）
大阪桐蔭,（後期ＥＳ専願）
大阪桐蔭,（Ｓ特別・Ｅ）
大阪桐蔭,（Ｓ特別・Ｅ専願）
大阪桐蔭,（Ｓ特別・ＥＳ）
大阪桐蔭,（Ｓ特別・ＥＳ専願）
大阪桐蔭,（Ｌ特別・Ｅ）
大阪桐蔭,（Ｌ特別・Ｅ専願）
大阪桐蔭,（Ｌ特別・ＥＳ）
大阪桐蔭,（Ｌ特別・ＥＳ専願）
大阪府立咲くやこの花,（言語）
大阪府立富田林,1
大谷,（京都・Ａ３科コア）
大谷,（京都・Ａ３科マスター）
大牟田,（Ａ）
岡山,（難関大Ａ）
岡山,（難関大Ａ専願）
岡山,（東大・国立医Ａ）
岡山,（東大・国立医Ａ専願）
岡山,（難関大Ｂ）
岡山,（難関大Ｂ専願）
岡山,（東大・国立医Ｂ）
岡山,（東大・国立医Ｂ専願）
岡山,（難関大Ｃ）
