学校名,回数区分
名古屋大附属,1
灘,1
浪速,（１次ＡⅠ類）
浪速,（１次ＡⅡ類）
浪速,（Ⅰ類選抜Ａ型）
奈良育英,（前期・専願）
奈良学園,（Ａ特進）
奈良学園,（Ａ医進）
奈良学園,（Ｂ特進）
奈良学園,（Ｂ医進）
奈良学園,（Ｃ特進）
奈良学園,（Ｃ医進）
奈良学園登美ヶ丘,（Ａ併願Ⅰ類）
奈良学園登美ヶ丘,（Ａ併願Ⅱ類）
奈良学園登美ヶ丘,（Ａ専願Ⅰ類）
奈良学園登美ヶ丘,（Ａ専願Ⅱ類）
奈良学園登美ヶ丘,（ＢⅠ類）
奈良学園登美ヶ丘,（ＢⅡ類）
奈良学園登美ヶ丘,（ＣⅠ類）
奈良学園登美ヶ丘,（ＣⅡ類）
奈良教育大附属,1
奈良女子大附属,1
鳴門教育大附属,1
南山,男子部
新潟県立柏崎翔洋中等教育,1
新潟県立直江津中等教育,1
新潟第一,（１回専願）
新潟第一,（１回併願）
新潟大附属新潟,1
新潟大附属長岡,1
新潟明訓,（Ｂ）
仁川学院,（１次）
仁川学院,（１次アカデミア）
仁川学院,（２次）
仁川学院,（２次アカデミア）
仁川学院,（３次）
仁川学院,（３次アカデミア）
仁川学院,（ファイナル）
仁川学院,（ファイナルアカデミア）
西大和学園,（本校３科男子）
西大和学園,（本校４科）
西大和学園,（県外・東海）
西大和学園,（県外・岡山）
西大和学園,（県外・広島）
西大和学園,（県外・福岡）
西大和学園,（県外・札幌沖縄）
新田青雲,1
新田青雲,（専願）
新田青雲,（英語）
日本大学三島,1
野田学園,（Ａ）
白陵,（前期）
白陵,（後期）
函館ラ・サール,（１次・本校）
函館ラ・サール,（１次・札幌）
函館ラ・サール,（１次・大阪）
函館ラ・サール,（１次・名古屋）
函館ラ・サール,（２次・本校）
函館ラ・サール,（２次・大阪）
函館ラ・サール,（２次･名古屋）
羽衣学園,（１次Ａ・文特Ⅰ）
羽衣学園,（１次Ａ・文特Ⅱ）
初芝富田林,（前期Ａ特進α）
初芝富田林,（前期ＡＳ特進α）
初芝富田林,（前期Ｂ特進α）
初芝富田林,（前期ＢＳ特進α）
初芝富田林,（後期Ａ適性特進α）
初芝富田林,（後期Ａ適性Ｓ特進α）
初芝富田林,（後期ＡＳ特進α）
初芝橋本,（Ｃα併願）
初芝橋本,（Ｃβ併願）
初芝立命館,（後期A・Ａα併願）
初芝立命館,（後期A・Ｒ併願）
初芝立命館,（後期A・Ａβ併願）
花園,（Ａ３）
花園,（Ｂ１）
浜松開誠館,（前期）
浜松開誠館,（後期）
浜松学院,（前期）
浜松学院,（後期）
浜松学芸,（前期）
浜松学芸,（後期）
浜松修学舎,1
浜松修学舎,（２回）
浜松日体,（前期）
浜松日体,（後期）
比叡山,（Ｂ併願）
ＰＬ学園,（Ａ）
東福岡自彊館,1
東山,（前期Ａエース）
東山,（前期Ａユリーカ）
東山,（前期Ｂエース）
東山,（前期Ｂユリーカ）
東山,（後期エース）
東山,（後期ユリーカ）
雲雀丘学園,（Ａ午前）
雲雀丘学園,（Ａ午後）
雲雀丘学園,（Ｂ）
日向学院,（ＡⅡ種）
兵庫教育大附属,1
兵庫県立芦屋国際中等教育,1
兵庫県立大学附属,1
弘前大附属,1
広島学院,1
広島県立広島,1
広島城北,（４教科）
広島市立広島中等教育,1
広島大附属,1
広島大附属東雲,1
広島大附属福山,1
広島大附属三原,1
広島なぎさ,（一般）
広島なぎさ,（専願）
福井県立高志,1
福井工業大附属福井,1
福井工業大附属福井,（Ⅱ期）
福井大附属,1
福岡教育大附属久留米,1
福岡教育大附属小倉,1
福岡教育大附属福岡,1
福岡県立育徳館,1
福岡県立嘉穂高附属,1
福岡県立宗像,1
福岡県立門司学園,1
福岡大学附属大濠,1
福岡舞鶴誠和,（前期）
福山市立福山,1
藤枝明誠,（１次）
藤枝明誠,（２次）
文徳,（Ⅰ期専願）
文徳,（Ⅱ期）
報徳学園,（Ⅰ進）
報徳学園,（Ⅱ進）
報徳学園,（午後Ⅱ進）
報徳学園,（２次ＡⅠ進）
報徳学園,（２次ＡⅡ進）
報徳学園,（２次ＢⅠ進）
報徳学園,（２次ＢⅡ進）
北杜市立甲陵,1
北陸,（前期）
北陸,（後期）
北陸学院,1
北嶺,（本校・地方）
北嶺,（本校・地方特待）
北嶺,（青雲寮コース）
北嶺,（大阪）
北嶺,（大阪特待）
北海道立登別明日,1
北海道教育大附属旭川,1
北海道教育大附属釧路,1
北海道教育大附属札幌,1
北海道教育大附属函館,1
松本秀峰,1
三重,（一般）
三重大附属,1
箕面自由学園,（Ｂ午前）
美濃加茂,（Ⅰ期）
美濃加茂,（Ⅱ期）
宮城教育大附属,1
宮城県立仙台二華,1
宮城県立古川黎明,1
宮崎県立宮崎西高附属,1
宮崎第一,（前期）
宮崎大附属,1
宮崎日本大学,（前期）
明治学園,1
明星,（大阪・前期特進）
明星,（大阪・前期英数）
明星,（大阪・前期午後特進Ｓ）
明星,（大阪・前期午後特進）
明星,（大阪・後期Ｓ特進）
明星,（大阪・後期特進）
明星,（大阪・後期英数）
桃山学院,（Ａ６年進学）
桃山学院,（Ａ６年選抜）
桃山学院,（Ｂ６年進学）
桃山学院,（Ｂ６年選抜）
桃山学院,（Ｃ６年進学）
桃山学院,（Ｃ６年選抜）
山形県立東桜学館,1
山形大附属,1
山口大附属山口,1
山梨学院,1
山梨大附属,1
八女学院,（Ａ）
八女学院,（Ｂ）
洛星,（前期３科）
洛星,（前期４科）
洛星,（後期併願３科）
洛星,（後期併願４科）
洛星,（後期専願３科）
洛星,（後期専願４科）
洛南高校附属,（３科）
洛南高校附属,（４科）
洛南高校附属,（専願３科）
洛南高校附属,（専願４科）
ラ・サール,1
履正社,（前期１次学藝）
履正社,（前期１次独立）
履正社,（前期２次学藝）
履正社,（前期２次独立）
履正社,（後期学藝）
履正社,（後期独立）
立命館,（前期Ａ・ＣＬ）
立命館,（前期Ａ・ＡＬ３科）
立命館,（前期Ａ・ＡＬ４科）
立命館,（前期Ｂ・ＣＬ３科）
立命館,（前期Ｂ・ＣＬ４科）
立命館,（前期Ｂ・ＡＬ３科）
立命館,（前期Ｂ・ＡＬ４科）
立命館,（後期ＣＬ３科）
立命館,（後期ＣＬ４科）
立命館,（後期ＡＬ３科）
立命館,（後期ＡＬ４科）
立命館宇治,（Ａ一般）
立命館宇治,（Ｂ）
立命館慶祥,（一貫コース）
立命館慶祥,（ＳＰコース）
立命館慶祥,（専願一貫）
立命館慶祥,（個性一貫）
立命館守山,（Ａ１ＡＭ）
立命館守山,（Ｂ１ＡＭ）
龍谷,（佐賀・前期４教科）
龍谷,（佐賀・後期）
龍谷大学付属平安,（Ａ１）
龍谷大学付属平安,（Ａ２）
龍谷大学付属平安,（Ｂ２）
ルーテル学院,（奨学前期）
ルーテル学院,（一般前期）
麗澤瑞浪,（１期）
れいめい,（前期）
六甲学院,（Ａ）
六甲学院,（Ｂ）
早稲田佐賀,（一般１月）
愛知淑徳,1
愛徳学園,（Ａ）
遺愛女子,1
遺愛女子,（２回）
育英西,（Ａ特設併願）
育英西,（Ａ特設専願）
育英西,（Ａ立命館併願）
育英西,（Ａ立命館専願）
大阪薫英女学院,（Ａ１）
大阪女学院,（前期Ａ）
大阪女学院,（前期Ｂ）
大阪女学院,（後期）
大阪信愛学院,（Ａ）
大谷,（大阪･Ａ医進）
大谷,（大阪･Ａ特進）
大谷,（大阪･Ａ凛花）
大谷,（大阪･Ｂ医進午後）
大谷,（大阪･Ｂ特進午後）
大谷,（大阪･Ｃ医進午後）
大谷,（大阪･Ｃ特進午後）
大谷,（大阪･２次医進）
大谷,（大阪･２次特進）
小林聖心女子学院,（Ａ）
小林聖心女子学院,（Ｂ）
鹿児島純心女子,1
鹿児島純心女子,（２回）
活水,（Ａ）
活水,（Ｂ）
京都光華,（Ａ）
京都女子,（Ａ藤華）
京都女子,（Ａ東雲）
京都女子,（自己推薦Ⅱ）
京都女子,（Ｂ１藤華）
京都女子,（Ｂ１東雲）
京都女子,（Ｂ２東雲）
京都聖母学院,（Ａ１・Ⅰ類）
京都聖母学院,（Ａ１・Ⅱ類）
京都聖母学院,（Ａ１・Ⅲ類）
金城学院,1
金蘭会,（Ａ）
金蘭千里,（女子･前期Ａ）
金蘭千里,（女子･中期Ｂ）
金蘭千里,（女子･後期）
熊本信愛女学院,（特待Ⅰ一般）
熊本信愛女学院,（一般）
賢明女子学院,（Ａ）
賢明女子学院,（Ｂ）
賢明女子学院,（Ｃ）
甲子園学院,（Ａ）
甲南女子,（Ａ１スタンダード）
甲南女子,（Ａ１Ｓアドバンスト）
甲南女子,（Ａ２スタンダード）
甲南女子,（Ａ２Ｓアドバンスト）
甲南女子,（Ｂスタンダード）
甲南女子,（ＢＳアドバンスト）
神戸海星女子学院,（Ａ）
神戸海星女子学院,（Ｂ）
神戸国際,（ＡⅠ）
神戸国際,（ＡⅡ）
神戸国際,（ＢⅠ）
神戸国際,（ＢⅡ）
神戸国際,（Ｃ）
神戸女学院,1
神戸山手女子,（前期午前）
堺リベラル,（１次Ａ）
静岡英和女学院,（Ａスタンダード）
静岡英和女学院,（Ａアドバンスト）
静岡西遠女子学園,1
静岡雙葉,1
四天王寺,（英数）
四天王寺,（英数Ｓ）
四天王寺,（医志）
純心,（併願）
純心,（専願）
純心,（２次）
樟蔭,（Ａ国際教養）
樟蔭,（Ａ総合進学）
松蔭,（神戸・Ａ）
松蔭,（神戸・Ｂ）
尚絅,（特待併願）
尚絅,（２回特待併願）
尚絅,（２回一般）
城南学園,（１次）
親和,（前期１総合）
親和,（前期１Ｓ）
親和,（前期２総合）
親和,（前期２Ｓ）
親和,（後期１総合）
親和,（後期１Ｓ）
親和,（後期２総合）
親和,（後期２Ｓ）
親和,（算数１科総合）
親和,（算数１科Ｓ）
親和,（チャレンジ総合）
親和,（チャレンジS）
椙山女学園,1
清心,（岡山・教科型）
清心,（岡山・適性検査型）
清心,（岡山･２次）
西南女学院,（前期）
聖マリア女学院,（１月専願入試）
聖霊,（学科選考）
セントヨゼフ女子学園,1
セントヨゼフ女子学園,（ＳＡＣ）
相愛,（Ａ普通科進学）
相愛,（Ａ普通科特進）
相愛,（Ａ音楽科進学）
園田学園,（Ａ）
筑紫女学園,1
帝塚山,（Ａ女子英数Ｓ専願）
帝塚山,（Ａ女子英数Ｓ併願）
帝塚山,（Ａ女子英数専願）
帝塚山,（Ａ女子英数併願）
帝塚山,（Ａ女子特進専願）
帝塚山,（Ａ女子特進併願）
帝塚山,（Ｂ女子英数Ｓ）
帝塚山,（Ｂ女子英数）
帝塚山,（Ｂ女子特進）
帝塚山,（２次Ａ女子英数Ｓ）
帝塚山,（２次Ａ女子英数）
帝塚山,（２次Ａ女子特進）
帝塚山,（２次Ｂ女子英数Ｓ）
帝塚山,（２次Ｂ女子英数）
帝塚山,（２次Ｂ女子特進）
帝塚山学院,（１次Ａ関学）
帝塚山学院,（１次Ａエトワール）
帝塚山学院,（１次Ａプルミエ）
帝塚山学院,（Ｅ関学）
帝塚山学院,（Ｅエトワール）
帝塚山学院,（Ｅプルミエ）
帝塚山学院,（１次Ｂ関学）
帝塚山学院,（１次Ｂエトワール）
帝塚山学院,（１次Ｂプルミエ）
帝塚山学院,（２次関学）
帝塚山学院,（２次エトワール）
帝塚山学院,（２次プルミエ）
同志社女子,（前期ＬＡ）
同志社女子,（前期ＷＲ）
同志社女子,（後期ＬＡ）
同志社女子,（後期ＷＲ）
同志社女子,（自己推薦ＬＡ）
同志社女子,（自己推薦ＷＲ）
常葉大附属常葉,（前期）
常葉大附属常葉,（後期）
土佐女子,1
長崎精道,1
長崎精道,（２回）
長野清泉女学院,1
中村学園女子,（前期）
中村学園女子,（後期）
名古屋女子大,（一般Ａ）
名古屋女子大,（一般B）
南山,女子部
新潟清心女子,1
新潟清心女子,（２回）
新潟清心女子,（専願）
西大和学園,（本校３科女子）
ノートルダム女学院,（Ａ１Ｇ総合）
ノートルダム女学院,（Ａ１Ｇ探究）
ノートルダム清心,1
梅花,（Ａ１）
博多女子,（Ａ・併願）
博多女子,（特待選抜・併願）
博多女子,（Ｂ）
函館白百合学園,（一般前期）
函館白百合学園,（一般後期）
比治山女子,（Ⅰ一般）
比治山女子,（Ⅱ一般）
姫路女学院,（Ａ１）
姫路女学院,（Ａ２）
姫路女学院,（Ｂ）
姫路女学院,（Ｃ）
広島女学院,1
プール学院,（Ａ総合特進・併願）
プール学院,（Ａキリ教・専願）
プール学院,（Ａ一貫特進・併願）
プール学院,（Ａ一貫特進・専願）
プール学院,（Ｂキリ教）
プール学院,（Ｂ一貫特進）
プール学院,（Ｃキリ教）
プール学院,（Ｃ一貫特進）
プール学院,（２次キリ教）
プール学院,（２次一貫特進）
福岡女学院,（１月４科）
福岡女学院,（１月英語）
福岡雙葉,（ＦＢ）
福山暁の星女子,1
藤枝順心,（１次Ａ）
藤枝順心,（１次Ｂ）
藤枝順心,（２次）
藤女子,1
不二聖心女子学院,（Ａ本校）
不二聖心女子学院,（Ｂ本校）
平安女学院,（Ａ１/ＧＳ＋）
平安女学院,（Ａ１/ＲＳ＋）
北星学園女子,1
松山東雲,（前期２科併願）
松山東雲,（後期）
武庫川女子大附属,（Ａ・ＣＧ）
武庫川女子大附属,（Ａ・ＣＳ）
武庫川女子大附属,（Ｂ・ＣG）
武庫川女子大附属,（Ｂ・ＣＳ）
武庫川女子大附属,（Ｃ・ＣＧ）
武庫川女子大附属,（Ｃ・ＣＳ）
武庫川女子大附属,（Ｄ・ＣＧ）
武庫川女子大附属,（Ｄ・ＣＳ）
明光学園,（Ａ）
安田女子,（Ｂ総合）
安田女子,（Ｂ特進）
百合学院,（Ａ）
和歌山信愛,（Ａ･特進）
和歌山信愛,（Ａ･医進）
和歌山信愛,（Ａ午後･特進）
和歌山信愛,（Ａ午後･医進）
和歌山信愛,（Ｂ･特進）
和歌山信愛,（Ｂ･医進）
和歌山信愛,（Ｃ･特進）
和歌山信愛,（Ｃ･医進）
